,0,1,2,3,4,5
270,2.9e-05,8e-06,5.35e-05,10805570000.0,0.032684244,2.13363777
271,2.9e-05,9e-06,5.35e-05,10805570000.0,0.032684244,2.13363777
272,2.9e-05,6e-06,5.4e-05,10837920000.0,0.0329224871,2.13497818
273,2.9e-05,7e-06,5.4e-05,10837920000.0,0.0329224871,2.13497818
274,2.9e-05,8e-06,5.4e-05,10837920000.0,0.0329224871,2.13497818
275,2.9e-05,9e-06,5.4e-05,10837920000.0,0.0329224871,2.13497818
276,2.9e-05,6e-06,5.45e-05,10867980000.0,0.0331605666,2.13630564
277,2.9e-05,7e-06,5.45e-05,10867980000.0,0.0331605666,2.13630564
278,2.9e-05,8e-06,5.45e-05,10867980000.0,0.0331605666,2.13630564
279,2.9e-05,9e-06,5.45e-05,10867980000.0,0.0331605666,2.13630564
280,2.9e-05,6e-06,5.5e-05,10895930000.0,0.0333984839,2.13762042
281,2.9e-05,7e-06,5.5e-05,10895930000.0,0.0333984839,2.13762042
282,2.9e-05,8e-06,5.5e-05,10895930000.0,0.0333984839,2.13762042
283,2.9e-05,9e-06,5.5e-05,10895930000.0,0.0333984839,2.13762042
284,2.9e-05,6e-06,5.55e-05,10921900000.0,0.0336362403,2.13892277
285,2.9e-05,7e-06,5.55e-05,10921900000.0,0.0336362403,2.13892277
286,2.9e-05,8e-06,5.55e-05,10921900000.0,0.0336362403,2.13892277
287,2.9e-05,9e-06,5.55e-05,10921900000.0,0.0336362403,2.13892277
288,2.95e-05,6e-06,5.2e-05,10862320000.0,0.0330161325,2.13547489
289,2.95e-05,7e-06,5.2e-05,10862320000.0,0.0330161325,2.13547489
290,2.95e-05,8e-06,5.2e-05,10862320000.0,0.0330161325,2.13547489
291,2.95e-05,9e-06,5.2e-05,10862320000.0,0.0330161325,2.13547489
292,2.95e-05,6e-06,5.25e-05,10898400000.0,0.0332645438,2.13685508
293,2.95e-05,7e-06,5.25e-05,10898400000.0,0.0332645438,2.13685508
294,2.95e-05,8e-06,5.25e-05,10898400000.0,0.0332645438,2.13685508
